frame,contactArea_mm2
1,1799.45882400954
5,1801.50284832965
9,1791.05114913965
13,1791.18352289939
17,1785.61046140678
21,1787.31993779959
25,1817.0673599677
29,1836.83854709916
33,1809.76833460241
37,1811.71758706713
41,1803.5195478801
45,1805.50043807356
49,1812.73559131087
53,1809.13648166691
57,1784.65247093012
61,1786.35907380216
65,1794.83113228227
69,1812.33408040325
73,1826.31211769642
77,1821.53258046223
81,1793.17023177107
85,1803.55218187139
89,1786.65646149073
93,1804.27882618836
97,1814.07582883836
101,1817.78822859399
105,1805.62716833741
109,1795.08545555978
113,1816.54442006291
117,1806.20306262573
121,1828.54727587421
125,1807.57574803861
129,1839.2612204053
133,1809.045631484
137,1803.81985428652
141,1847.34398931622
145,1847.08148717669
149,1881.43783286181
153,1860.33480065297
157,1852.46504367013
161,1854.70219389808
165,1868.8985595982
169,1826.89584399701
173,1811.28031377423
177,1808.93834183785
181,1791.28745261597
185,1800.26180495724
189,1809.81319271708
193,1799.9336129939
197,1792.88300492306
201,1780.66523948289
205,0
209,0
213,0
217,0
221,0
225,0
229,0
233,0
237,0
241,0
245,0
249,0
253,0
257,0
261,0
265,0
269,0
273,1806.45255944335
277,1796.33279596161
281,1814.16376923336
285,1800.63509338512
289,1812.48065298036
293,1840.64830576772
297,1844.60111265502
301,1850.38322396738
305,1812.10118184869
309,1815.4069509423
313,1859.5959202408
317,1872.06027722198
321,1880.23102225018
325,1862.08027619472
329,1860.97732548613
333,1853.46953354868
337,1808.96653187031
341,1798.87874704991
345,1798.81647613787
349,1809.55761320429
353,1824.46046756145
357,1793.52097914173
361,1786.23927379549
365,0
369,0
373,0
377,0
381,0
385,0
389,0
393,0
397,0
401,0
405,0
409,0
413,0
417,0
421,0
425,0
429,0
433,0
