pair,tol_mm,A_mm2,A_true_mm2,relErr_pct
cube-cube,0.01,2608.8610955871,2608.8610955871,0
cube-cube,0.02,2608.8610955871,2608.8610955871,0
cube-cube,0.05,2608.8610955871,2608.8610955871,0
cube-cube,0.1,2608.8610955871,2608.8610955871,0
cube-cube,0.15,2608.8610955871,2608.8610955871,0
cube-cube,0.2,2608.8610955871,2608.8610955871,0
cube-cube,0.3,2608.8610955871,2608.8610955871,0
cube-cube,0.4,2608.8610955871,2608.8610955871,0
cube-cube,0.5,2608.8610955871,2608.8610955871,0
cube-cube,0.75,2608.8610955871,2608.8610955871,0
cube-cube,1,2608.8610955871,2608.8610955871,0
sphere-sphere,0.01,291.018297259158,291.018297259158,0
sphere-sphere,0.02,291.018297259158,291.018297259158,0
sphere-sphere,0.05,291.018297259158,291.018297259158,0
sphere-sphere,0.1,291.018297259158,291.018297259158,0
sphere-sphere,0.15,291.018297259158,291.018297259158,0
sphere-sphere,0.2,291.018297259158,291.018297259158,0
sphere-sphere,0.3,291.018297259158,291.018297259158,0
sphere-sphere,0.4,291.018297259158,291.018297259158,0
sphere-sphere,0.5,291.018297259158,291.018297259158,0
sphere-sphere,0.75,291.018297259158,291.018297259158,0
sphere-sphere,1,291.018297259158,291.018297259158,0
sphere-in-groove,0.01,1426.70438316504,1426.70438316504,0
sphere-in-groove,0.02,1426.70438316504,1426.70438316504,0
sphere-in-groove,0.05,1426.70438316504,1426.70438316504,0
sphere-in-groove,0.1,1426.70438316504,1426.70438316504,0
sphere-in-groove,0.15,1426.70438316504,1426.70438316504,0
sphere-in-groove,0.2,1426.70438316504,1426.70438316504,0
sphere-in-groove,0.3,1426.70438316504,1426.70438316504,0
sphere-in-groove,0.4,1426.70438316504,1426.70438316504,0
sphere-in-groove,0.5,1426.70438316504,1426.70438316504,0
sphere-in-groove,0.75,1426.70438316504,1426.70438316504,0
sphere-in-groove,1,1426.70438316504,1426.70438316504,0
